spieltag,team_H,team_A,goal_H,goal_A,goal_H_HT,goal_A_HT
"
                    1. Spieltag
                ",1860 München ,Eintracht Braunschweig ,1,1,1,0
"
                    1. Spieltag
                ",Preußen Münster ,Hamburger SV ,1,1,0,0
"
                    1. Spieltag
                ",1. FC Saarbrücken ,1. FC Köln ,0,2,0,2
"
                    1. Spieltag
                ",Karlsruher SC ,Meidericher SV ,1,4,0,3
"
                    1. Spieltag
                ",Eintracht Frankfurt ,1. FC Kaiserslautern ,1,1,1,1
"
                    1. Spieltag
                ",FC Schalke 04 ,VfB Stuttgart ,2,0,2,0
"
                    1. Spieltag
                ",Hertha BSC ,1. FC Nürnberg ,1,1,0,1
"
                    1. Spieltag
                ",Werder Bremen ,Borussia Dortmund ,3,2,1,1
"
                    2. Spieltag
                ",Eintracht Braunschweig ,Preußen Münster ,1,0,1,0
"
                    2. Spieltag
                ",Hamburger SV ,1. FC Saarbrücken ,4,2,1,2
"
                    2. Spieltag
                ",1. FC Köln ,Karlsruher SC ,4,0,2,0
"
                    2. Spieltag
                ",Meidericher SV ,Eintracht Frankfurt ,3,1,2,0
"
                    2. Spieltag
                ",1. FC Kaiserslautern ,FC Schalke 04 ,2,3,1,1
"
                    2. Spieltag
                ",VfB Stuttgart ,Hertha BSC ,2,0,2,0
"
                    2. Spieltag
                ",1. FC Nürnberg ,Werder Bremen ,3,0,2,0
"
                    2. Spieltag
                ",Borussia Dortmund ,1860 München ,3,3,2,1
"
                    3. Spieltag
                ",1860 München ,1. FC Köln ,1,3,0,0
"
                    3. Spieltag
                ",Preußen Münster ,Meidericher SV ,4,2,2,0
"
                    3. Spieltag
                ",1. FC Saarbrücken ,Eintracht Braunschweig ,2,2,0,1
"
                    3. Spieltag
                ",Karlsruher SC ,Hamburger SV ,0,4,0,3
"
                    3. Spieltag
                ",Eintracht Frankfurt ,1. FC Nürnberg ,2,3,1,1
"
                    3. Spieltag
                ",FC Schalke 04 ,Borussia Dortmund ,3,1,1,1
"
                    3. Spieltag
                ",Hertha BSC ,1. FC Kaiserslautern ,2,2,0,2
"
                    3. Spieltag
                ",Werder Bremen ,VfB Stuttgart ,2,2,1,2
"
                    4. Spieltag
                ",Eintracht Braunschweig ,Karlsruher SC ,2,0,1,0
"
                    4. Spieltag
                ",Hamburger SV ,Eintracht Frankfurt ,3,0,1,0
"
                    4. Spieltag
                ",1. FC Köln ,FC Schalke 04 ,2,2,1,2
"
                    4. Spieltag
                ",Meidericher SV ,Hertha BSC ,1,3,0,1
"
                    4. Spieltag
                ",1. FC Kaiserslautern ,Werder Bremen ,3,0,1,0
"
                    4. Spieltag
                ",VfB Stuttgart ,1860 München ,1,1,1,1
"
                    4. Spieltag
                ",1. FC Nürnberg ,Preußen Münster ,2,2,1,2
"
                    4. Spieltag
                ",Borussia Dortmund ,1. FC Saarbrücken ,2,1,0,1
"
                    5. Spieltag
                ",1860 München ,1. FC Kaiserslautern ,3,0,0,0
"
                    5. Spieltag
                ",Preußen Münster ,VfB Stuttgart ,4,2,1,2
"
                    5. Spieltag
                ",1. FC Saarbrücken ,1. FC Nürnberg ,3,5,2,2
"
                    5. Spieltag
                ",Karlsruher SC ,Borussia Dortmund ,1,3,0,2
"
                    5. Spieltag
                ",Eintracht Frankfurt ,Eintracht Braunschweig ,3,0,2,0
"
                    5. Spieltag
                ",FC Schalke 04 ,Hamburger SV ,1,0,1,0
"
                    5. Spieltag
                ",Hertha BSC ,1. FC Köln ,0,3,0,1
"
                    5. Spieltag
                ",Werder Bremen ,Meidericher SV ,1,1,0,1
"
                    6. Spieltag
                ",1. FC Köln ,Werder Bremen ,4,3,0,1
"
                    6. Spieltag
                ",Meidericher SV ,1860 München ,3,0,1,0
"
                    6. Spieltag
                ",1. FC Kaiserslautern ,Preußen Münster ,0,0,0,0
"
                    6. Spieltag
                ",VfB Stuttgart ,1. FC Saarbrücken ,3,1,1,0
"
                    6. Spieltag
                ",1. FC Nürnberg ,Karlsruher SC ,2,4,2,1
"
                    6. Spieltag
                ",Hamburger SV ,Hertha BSC ,5,1,1,1
"
                    6. Spieltag
                ",Eintracht Braunschweig ,FC Schalke 04 ,4,3,2,1
"
                    6. Spieltag
                ",Borussia Dortmund ,Eintracht Frankfurt ,3,0,3,0
"
                    7. Spieltag
                ",1860 München ,1. FC Nürnberg ,5,0,3,0
"
                    7. Spieltag
                ",1. FC Saarbrücken ,1. FC Kaiserslautern ,2,4,2,1
"
                    7. Spieltag
                ",Karlsruher SC ,VfB Stuttgart ,0,3,0,2
"
                    7. Spieltag
                ",FC Schalke 04 ,Meidericher SV ,2,2,2,1
"
                    7. Spieltag
                ",Eintracht Frankfurt ,1. FC Köln ,2,1,2,1
"
                    7. Spieltag
                ",Hertha BSC ,Eintracht Braunschweig ,1,2,1,2
"
                    7. Spieltag
                ",Werder Bremen ,Hamburger SV ,4,2,2,1
"
                    7. Spieltag
                ",Preußen Münster ,Borussia Dortmund ,1,2,1,0
"
                    8. Spieltag
                ",Eintracht Braunschweig ,Werder Bremen ,1,1,1,1
"
                    8. Spieltag
                ",Hamburger SV ,1860 München ,5,0,3,0
"
                    8. Spieltag
                ",1. FC Köln ,Preußen Münster ,3,0,1,0
"
                    8. Spieltag
                ",Meidericher SV ,1. FC Saarbrücken ,3,1,1,1
"
                    8. Spieltag
                ",1. FC Kaiserslautern ,Karlsruher SC ,1,0,0,0
"
                    8. Spieltag
                ",VfB Stuttgart ,Eintracht Frankfurt ,0,0,0,0
"
                    8. Spieltag
                ",1. FC Nürnberg ,FC Schalke 04 ,0,2,0,1
"
                    8. Spieltag
                ",Borussia Dortmund ,Hertha BSC ,7,2,4,1
"
                    9. Spieltag
                ",Hamburger SV ,Eintracht Braunschweig ,2,1,1,1
"
                    9. Spieltag
                ",1. FC Köln ,Meidericher SV ,3,3,1,2
"
                    9. Spieltag
                ",VfB Stuttgart ,Borussia Dortmund ,2,1,1,0
"
                    9. Spieltag
                ",1. FC Nürnberg ,1. FC Kaiserslautern ,0,5,0,3
"
                    9. Spieltag
                ",Preußen Münster ,1860 München ,0,0,0,0
"
                    9. Spieltag
                ",1. FC Saarbrücken ,Karlsruher SC ,1,3,0,1
"
                    9. Spieltag
                ",FC Schalke 04 ,Werder Bremen ,2,3,1,1
